Imports completed. Initializing device...
Device used: cuda
============================================================
Lambda CATE密集扫描 (基于最终PARAMS)
============================================================

>>> lambda_cate = 0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5297
    [Pre-train Seed=42] Ep 100/200 Loss=1.4226
    [Pre-train Seed=42] Ep 150/200 Loss=1.4054
    [Pre-train Seed=42] Ep 200/200 Loss=1.3884
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7740
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6140
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6582
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5787
    [Fine-tune Seed=42] Ep 100/100 Loss=1.6227
  Seed 42: AUC=0.7971, CATE=0.2012, PEHE=0.1153
    [Pre-train Seed=43] Ep 50/200 Loss=1.5098
    [Pre-train Seed=43] Ep 100/200 Loss=1.4210
    [Pre-train Seed=43] Ep 150/200 Loss=1.4088
    [Pre-train Seed=43] Ep 200/200 Loss=1.3908
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7676
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7402
    [Fine-tune Seed=43] Ep 60/100 Loss=1.7045
    [Fine-tune Seed=43] Ep 80/100 Loss=1.6014
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6574
  Seed 43: AUC=0.7868, CATE=0.1872, PEHE=0.1101
    [Pre-train Seed=44] Ep 50/200 Loss=1.5003
    [Pre-train Seed=44] Ep 100/200 Loss=1.4230
    [Pre-train Seed=44] Ep 150/200 Loss=1.4072
    [Pre-train Seed=44] Ep 200/200 Loss=1.3933
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8235
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7330
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7376
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6284
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7132
  Seed 44: AUC=0.7937, CATE=0.2172, PEHE=0.1111
  平均: AUC=0.7925±0.0052, CATE=0.2018±0.0150

结果已保存: /home/UserData/ljx/Project_1/results/final/sweeps/lambda_cate_dense_sweep_results.csv
